epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61108,1.76459,2.50361,13.8378,1.39288,0.02703,0.4,0.05955,0.01083,0,0,0,0,1.77052,8.22766,2.55208,1.43113,0.0677417,0.000658333,0.000658333
2,15.492,2.31778,2.44725,3.91438,1.85962,0.10322,0.1,0.05548,0.01491,0.10113,0.1,0.06741,0.01534,1.7403,1.36836,2.53802,1.67163,0.035075,0.00132499,0.00132499
3,22.054,2.09435,1.9182,3.07567,1.73616,0.554,0.3,0.27847,0.06581,0.09942,0.4,0.05697,0.01407,1.64878,1.40522,4.02585,1.68975,0.0024083,0.00199163,0.00199163
4,28.8345,1.98092,1.7571,2.85591,1.64147,0.13375,0.5,0.07568,0.01685,0.1147,0.2,0.0604,0.01074,1.62608,1.35797,7.18011,1.58721,0.00199991,0.00199991,0.00199991
5,35.7385,2.44914,1.96587,2.8111,1.95617,0.18767,0.3,0.15484,0.05799,0.25488,0.4,0.17977,0.04459,1.41684,1.50784,3.1682,1.36965,0.00199985,0.00199985,0.00199985
6,42.3838,2.02482,1.71646,2.48251,1.69778,0.05,0.8,0.17488,0.03284,0.025,0.4,0.0321,0.0037,1.54735,1.67541,1.78987,1.41553,0.00199976,0.00199976,0.00199976
7,49.7372,1.88997,1.64065,2.39444,1.6464,0.21294,0.5,0.16774,0.04166,0.21361,0.5,0.2089,0.03599,1.65365,1.21094,2.3179,1.49428,0.00199965,0.00199965,0.00199965
8,56.3705,2.177,1.75792,2.30727,1.81,0.59305,0.58437,0.46669,0.12815,0.39328,0.5,0.34694,0.08956,1.53594,1.18077,1.64362,1.33516,0.00199953,0.00199953,0.00199953
9,63.3576,2.15215,1.72517,2.33275,1.72789,0.12046,0.3,0.15219,0.03914,0.13275,0.4,0.09849,0.0188,1.51608,1.3465,1.78464,1.38874,0.00199939,0.00199939,0.00199939
10,70.4008,1.80654,1.46283,2.07931,1.5156,0.32086,0.3,0.22797,0.07988,0.23448,0.5,0.28248,0.1018,1.53373,0.9765,2.20927,1.47853,0.00199922,0.00199922,0.00199922
11,77.4463,1.99447,1.7408,2.22423,1.69341,0.3951,0.2,0.20609,0.06393,0.64012,0.4,0.39361,0.10332,1.4964,1.14777,2.1985,1.32064,0.00199904,0.00199904,0.00199904
12,84.3432,1.8773,1.39552,2.16163,1.55556,0.48465,0.3,0.29841,0.067,0.37719,0.66746,0.44547,0.09376,1.52335,1.10112,1.82477,1.36817,0.00199884,0.00199884,0.00199884
13,91.2013,1.58631,1.48244,1.75513,1.27604,0.28611,0.5,0.25647,0.08703,0.39245,0.6,0.41878,0.14367,1.37742,0.94617,1.45764,1.2548,0.00199862,0.00199862,0.00199862
